tconst,primaryTitle,originalTitle,isAdult,releaseYear,runtimeMinutes,genres,averageRating,numVotes,nudity,violence,profanity,alcohol,frightening,actors,countriesOfOrigin,productionCompanies,budget,grossWorldwide
tt1341167,Four Lions,Four Lions,0,2010.0,97.0,"Comedy,Crime,Drama",7.3,83901,Mild,Moderate,Severe,None,Moderate,"Will Adamsdale, Riz Ahmed, Adeel Akhtar, Kayvan Novak, Nigel Lindsay, Preeya Kalidas, Mohamad Akil, Craig Parkinson, Karl Seth, Waleed Elgadi, Alex Macqueen, Shameem Ahmad, Arsher Ali, Julia Davis, Wasim Zakir, Jonathan Maitland, Marcus Garvey, Darren Boyd","United Kingdom, France","Film4, Warp Films, Wild Bunch",,5620511.384000001
tt3547740,The Bélier Family,La famille Bélier,0,2014.0,106.0,"Comedy,Drama,Music",7.3,29507,Mild,Mild,Mild,None,None,"Karin Viard, François Damiens, Eric Elmosnino, Louane Emera, Roxane Duran, Ilian Bergala, Luca Gelberg, Mar Sodupe, Stéphan Wojtowicz, Jérôme Kircher, Bruno Gomila, Véronique Poulain, Philippe Dusseau, Clémence Lassalas, Melchior Lebeaut, Céline Jorrion, Manuel Weber, Sébastien Agius","France, Belgium","Jerico, Mars Films, France 2 Cinéma",10962002.0,66516979.746
tt1289403,The Guernsey Literary and Potato Peel Pie Society,The Guernsey Literary and Potato Peel Pie Society,0,2018.0,124.0,"Drama,Romance,War",7.3,51435,None,Mild,Mild,Mild,Mild,"Jessica Brown Findlay, Tom Courtenay, Michiel Huisman, Katherine Parkinson, Marek Oravec, Jack Morris, Matthew Goode, Lily James, Stephanie Schonfield, Pippa Rathborne, Emily Patrick, Rachal Olivant, Clive Merrison, Glen Powell, Bernice Stegers, Madeleine Domries, Penelope Wilton, Alexa Povah","United Kingdom, France, United States","Amazon Prime Video, Blueprint Pictures, Canal+",77690000.0,21158128.418
tt0277327,As Far as My Feet Will Carry Me,So weit die Füße tragen,0,2001.0,158.0,"Action,Adventure,Drama",7.3,7946,Moderate,Moderate,Mild,Mild,Moderate,"Bernhard Bettermann, Iris Böhm, Anatoliy Kotenyov, Michael Mendl, Irina Pantaeva, Hans-Uwe Bauer, André Hennicke, Antonio Wannek, Johannes Hitzblech, Stephan Wolf-Schönburg, Irina Narbekova, Pavel Lebeshev, Vladimir Korpus, Igor Filchenkov, Tschmid Rintshinov, Nikolai Kondrashkin, Dabatsu Jundunova, Artur Fjodorowitsch",Germany,"B & C Filmproduktion GmbH, Cascadeur Filmproduktion GmbH, KC Medien",,735411.712
tt0063671,Targets,Targets,0,1968.0,90.0,"Crime,Drama,Thriller",7.3,11124,None,Moderate,Mild,Mild,Severe,"Tim O'Kelly, Boris Karloff, Nancy Hsueh, James Brown, Arthur Peterson, Tanya Morgan, Mary Jackson, Sandy Baron, Monte Landis, Paul Condylis, Mark Dennis, Stafford Morgan, Peter Bogdanovich, Daniel Ades, Timothy Burns, Warren White, Geraldine Baron, Gary Kent",United States,"Saticoy Productions, Roger Corman Productions",118820.0,
tt14182646,Vendhu Thanindhathu Kaadu,Vendhu Thanindhathu Kaadu,0,2022.0,177.0,"Action,Crime,Drama",7.3,7939,Mild,Moderate,Severe,None,Moderate,"Silambarasan Rajendar, Siddhi Idnani, Radhika Sarathkumar, Appukutty, Bava Chelladurai, Pathman, Aangelina Abraham, Pankaj Anand, Neeraj Madhav, Siddique, Adithya Bhaskar, Delhi Ganesh, Geetha Kailasam, Ajmina Kassim, Kavithalaya Krishnan, Mak Manigandan, Richard James Peter, Phathmen",India,Vels Film International,,2957624.4820000003
tt0112922,The Day of the Beast,El día de la bestia,0,1995.0,103.0,"Action,Comedy,Crime",7.3,23392,Mild,Moderate,Moderate,Moderate,Moderate,"Álex Angulo, Armando De Razza, Santiago Segura, Terele Pávez, Nathalie Seseña, Maria Grazia Cucinotta, Gianni Ippoliti, Jaime Blanch, David Pinilla, Antonio Dechent, Ignacio Carreño, Saturnino García, El Gran Wyoming, Pololo, Higinio Barbero, Daniel Cicare, Javier Manrique, Aitor Fernández","Spain, Italy","Canal+ España, Iberoamericana Films Producción, M.G. S.R.L",2100000.0,9125.376
tt0241303,Chocolat,Chocolat,0,2000.0,121.0,"Drama,Romance",7.3,199634,Mild,Mild,None,Mild,Mild,"Juliette Binoche, Johnny Depp, Judi Dench, Alfred Molina, Carrie-Anne Moss, Aurelien Parent Koenig, Antonio Gil, Hélène Cardona, Harrison Pratt, Gaelan Connell, Élisabeth Commelin, Ron Cook, Guillaume Tardieu, Hugh O'Conor, John Wood, Lena Olin, Peter Stormare, Leslie Caron","United Kingdom, United States","Miramax, David Brown Productions, Fat Free",22850000.0,139568372.164
tt1166100,Ghajini,Ghajini,0,2008.0,186.0,"Action,Drama,Mystery",7.3,66019,None,Severe,Mild,Mild,Severe,"Aamir Khan, Asin Thottumkal, Jiah Khan, Aamir Naik, Pradeep Singh Rawat, Tinnu Anand, Riyaz Khan, Kamal Adib, Asif Ahmed, John Cardiel, Vibha Chhibber, Neville Dadachanji, Salim Fatehi, Mahendra Gole, Srinivas Govind, Sunil Grover, Simon Hewitt, Kiran Deep Jagi",India,Geetha Arts,,35021357.776
tt2452386,The Fundamentals of Caring,The Fundamentals of Caring,0,2016.0,97.0,"Comedy,Drama",7.3,78353,Mild,None,Moderate,Mild,None,"Craig Roberts, Paul Rudd, Selena Gomez, Alex Huff, Donna Biscoe, Julia Denton, Jennifer Ehle, Ashley White, Matthew Pruitt, Alan Boell, Bill Murphey, Robert Walker Branchaud, Eric Singer, James Donadio, Megan Ferguson, Samantha Huskey, Frederick Weller, Matt Mercurio",United States,"Levantine Films, Worldwide Pants",,
